wr_frac,ideal_max_load,ideal_max_tlat,crew_max_load,crew_max_tlat,crew_excess_tlat,dcrew_max_load,dcrew_max_tlat,dcrew_excess_tlat,erew_max_load,erew_max_tlat,erew_excess_tlat
0,0.9586956521739131,1781,0.9586956521739131,1781,1.0,0.9586956521739131,1781,1.0,0.7521739130434782,6631,5.426350245499182
5,0.9586956521739131,1781,0.9586956521739131,1946,1.0926445816956767,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
10,0.9586956521739131,1781,0.9586956521739131,2073,1.1639528354856823,0.9586956521739131,1779,0.9988770353733858,0.7521739130434782,6631,5.426350245499182
15,0.9586956521739131,1781,0.9586956521739131,2183,1.2257158899494667,0.9586956521739131,1779,0.9988770353733858,0.7521739130434782,6631,5.426350245499182
20,0.9586956521739131,1781,0.9586956521739131,2295,1.2886019090398653,0.9586956521739131,1780,0.9994385176866929,0.7521739130434782,6631,5.426350245499182
25,0.9586956521739131,1781,0.9586956521739131,2417,1.3571027512633351,0.9586956521739131,1781,1.0,0.7521739130434782,6631,5.426350245499182
30,0.9586956521739131,1781,0.9586956521739131,2567,1.4413250982594048,0.9586956521739131,1780,0.9994385176866929,0.7521739130434782,6631,5.426350245499182
35,0.9586956521739131,1781,0.9586956521739131,2731,1.5334081976417744,0.9586956521739131,1780,0.9994385176866929,0.7521739130434782,6631,5.426350245499182
40,0.9586956521739131,1781,0.9586956521739131,2917,1.6378439079169007,0.9586956521739131,1783,1.0011229646266142,0.7521739130434782,6631,5.426350245499182
45,0.9586956521739131,1781,0.9586956521739131,3133,1.7591240875912408,0.9586956521739131,1781,1.0,0.7521739130434782,6631,5.426350245499182
50,0.9586956521739131,1781,0.9586956521739131,3395,1.906232453677709,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
55,0.9586956521739131,1781,0.9586956521739131,3705,2.0802919708029197,0.9586956521739131,1783,1.0011229646266142,0.7521739130434782,6631,5.426350245499182
60,0.9586956521739131,1781,0.9586956521739131,4087,2.294778214486244,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
65,0.9586956521739131,1781,0.9586956521739131,4587,2.575519371139809,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
70,0.9586956521739131,1781,0.9586956521739131,5223,2.9326221224031443,0.9586956521739131,1780,0.9994385176866929,0.7521739130434782,6631,5.426350245499182
75,0.9586956521739131,1781,0.9586956521739131,6079,3.4132509825940485,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
80,0.9586956521739131,1781,0.9173913043478261,6227,3.832,0.9586956521739131,1782,1.000561482313307,0.7521739130434782,6631,5.426350245499182
85,0.9586956521739131,1781,0.8760869565217391,6435,4.101338432122371,0.9586956521739131,1783,1.0011229646266142,0.7521739130434782,6631,5.426350245499182
90,0.9586956521739131,1781,0.8347826086956521,6567,4.398526456798392,0.9586956521739131,1783,1.0011229646266142,0.7521739130434782,6631,5.426350245499182
95,0.9586956521739131,1781,0.7934782608695652,6663,4.800432276657061,0.9586956521739131,1779,0.9988770353733858,0.7521739130434782,6631,5.426350245499182
100,0.9586956521739131,1781,0.7521739130434782,6631,5.426350245499182,0.9586956521739131,1783,1.0011229646266142,0.7521739130434782,6631,5.426350245499182
