zipf,wr_frac,ideal_max_load,ideal_max_tlat,real_max_load,real_max_tlat,tput_slowdown,excess_tlat
0.9,0,0.9586956521739131,2485,0.9586956521739131,2391,1.0,0.9621730382293763
0.9,5,0.9586956521739131,2485,0.9586956521739131,2731,1.0,1.0989939637826962
0.9,10,0.9586956521739131,2485,0.9586956521739131,3197,1.0,1.2865191146881287
0.9,15,0.9586956521739131,2485,0.9586956521739131,3245,1.0,1.3058350100603622
0.9,20,0.9586956521739131,2485,0.9586956521739131,3531,1.0,1.4209255533199194
0.9,25,0.9586956521739131,2485,0.9586956521739131,3663,1.0,1.4740442655935613
0.9,30,0.9586956521739131,2485,0.9586956521739131,3543,1.0,1.425754527162978
0.9,35,0.9586956521739131,2485,0.9586956521739131,3433,1.0,1.3814889336016096
0.9,40,0.9586956521739131,2485,0.9586956521739131,3427,1.0,1.3790744466800804
0.9,45,0.9586956521739131,2485,0.9586956521739131,3565,1.0,1.4346076458752515
0.9,50,0.9586956521739131,2485,0.9586956521739131,3813,1.0,1.5344064386317908
0.9,55,0.9586956521739131,2485,0.9586956521739131,4303,1.0,1.73158953722334
0.9,60,0.9586956521739131,2485,0.9586956521739131,4983,1.0,2.00523138832998
0.9,65,0.9586956521739131,2485,0.9586956521739131,6151,1.0,2.475251509054326
0.9,70,0.9586956521739131,2485,0.9173913043478261,6803,0.9569160997732427,4.123030303030303
0.9,75,0.9586956521739131,2485,0.8347826086956521,6095,0.8707482993197279,4.020448548812665
0.9,80,0.9586956521739131,2485,0.7934782608695652,6503,0.8276643990929705,4.566713483146067
1.0,0,0.9586956521739131,2485,0.9586956521739131,2391,1.0,0.9621730382293763
1.0,5,0.9586956521739131,2485,0.9586956521739131,4103,1.0,1.6511066398390342
1.0,10,0.9586956521739131,2485,0.9173913043478261,2333,0.9569160997732427,1.4139393939393938
1.0,15,0.9586956521739131,2485,0.9173913043478261,2557,0.9569160997732427,1.5496969696969698
1.0,20,0.9586956521739131,2485,0.9173913043478261,2691,0.9569160997732427,1.6309090909090909
1.0,25,0.9586956521739131,2485,0.9173913043478261,2741,0.9569160997732427,1.6612121212121211
1.0,30,0.9586956521739131,2485,0.9586956521739131,5951,1.0,2.39476861167002
1.0,35,0.9586956521739131,2485,0.9586956521739131,4251,1.0,1.7106639839034206
1.0,40,0.9586956521739131,2485,0.9586956521739131,3691,1.0,1.485311871227364
1.0,45,0.9586956521739131,2485,0.9586956521739131,4179,1.0,1.6816901408450704
1.0,50,0.9586956521739131,2485,0.9173913043478261,5587,0.9569160997732427,3.386060606060606
1.0,55,0.9586956521739131,2485,0.8347826086956521,5971,0.8707482993197279,3.938654353562005
1.0,60,0.9586956521739131,2485,0.7521739130434782,5599,0.7845804988662132,4.381064162754304
1.0,65,0.9586956521739131,2485,0.7108695652173913,6551,0.7414965986394558,6.760577915376677
1.0,70,0.9586956521739131,2485,0.6695652173913044,6947,0.6984126984126984,7.485991379310345
1.0,75,0.9586956521739131,2485,0.5869565217391305,5407,0.6122448979591837,5.832793959007551
1.0,80,0.9586956521739131,2485,0.5456521739130434,5443,0.5691609977324262,5.871628910463862
1.1,0,0.9586956521739131,2485,0.9586956521739131,2391,1.0,0.9621730382293763
1.1,5,0.9586956521739131,2485,0.9173913043478261,2651,0.9569160997732427,1.6066666666666667
1.1,10,0.9586956521739131,2485,0.9173913043478261,4315,0.9569160997732427,2.6151515151515152
1.1,15,0.9586956521739131,2485,0.9173913043478261,6635,0.9569160997732427,4.0212121212121215
1.1,20,0.9586956521739131,2485,0.9173913043478261,4327,0.9569160997732427,2.6224242424242425
1.1,25,0.9586956521739131,2485,0.9173913043478261,3415,0.9569160997732427,2.06969696969697
1.1,30,0.9586956521739131,2485,0.9173913043478261,3449,0.9569160997732427,2.0903030303030303
1.1,35,0.9586956521739131,2485,0.9173913043478261,6619,0.9569160997732427,4.011515151515152
1.1,40,0.9586956521739131,2485,0.7934782608695652,6107,0.8276643990929705,4.288623595505618
1.1,45,0.9586956521739131,2485,0.7108695652173913,6851,0.7414965986394558,7.0701754385964914
1.1,50,0.9586956521739131,2485,0.6282608695652174,6339,0.655328798185941,6.8381877022653725
1.1,55,0.9586956521739131,2485,0.5456521739130434,5031,0.5691609977324262,5.427184466019417
1.1,60,0.9586956521739131,2485,0.5043478260869565,5727,0.5260770975056689,6.17799352750809
1.1,65,0.9586956521739131,2485,0.4630434782608695,5779,0.4829931972789115,6.234088457389428
1.1,70,0.9586956521739131,2485,0.42173913043478256,5323,0.43990929705215415,5.742179072276159
1.1,75,0.9586956521739131,2485,0.3804347826086956,4803,0.3968253968253968,5.181229773462783
1.1,80,0.9586956521739131,2485,0.3804347826086956,6767,0.3968253968253968,7.299892125134844
1.2,0,0.9586956521739131,2485,0.9586956521739131,2391,1.0,0.9621730382293763
1.2,5,0.9586956521739131,2485,0.8760869565217391,2745,0.9138321995464852,1.728589420654912
